행정구역,2019년01월_총인구수,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년02월_총인구수,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년03월_총인구수,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년04월_총인구수,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년05월_총인구수,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년06월_총인구수,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년07월_총인구수,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년08월_총인구수,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년09월_총인구수,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년10월_총인구수,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년11월_총인구수,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년12월_총인구수,2019년12월_남자 인구수,2019년12월_여자 인구수,위도,경도
서울특별시 종로구,152866,74700,78166,152880,74662,78218,152778,74536,78242,152495,74401,78094,152220,74240,77980,152026,74190,77836,151858,74113,77745,151766,74037,77729,151767,73952,77815,151541,73826,77715,151457,73811,77646,151290,73746,77544,37.57364689,126.978984
서울특별시 중구,125872,62025,63847,125995,62048,63947,125942,61992,63950,125913,61952,63961,125808,61940,63868,126143,62086,64057,126414,62212,64202,126412,62190,64222,126409,62161,64248,126270,62049,64221,126209,61994,64215,126171,61910,64261,37.5639284,126.9975517
서울특별시 용산구,229167,110652,118515,229279,110682,118597,229168,110626,118542,228940,110504,118436,228926,110486,118440,229122,110560,118562,229155,110619,118536,229117,110605,118512,228830,110478,118352,228594,110395,118199,228507,110309,118198,228670,110356,118314,37.53253057,126.9907138
서울특별시 성동구,307723,151071,156652,307064,150682,156382,306404,150287,156117,305785,149928,155857,305436,149718,155718,304936,149412,155524,304292,149082,155210,303730,148813,154917,303158,148510,154648,302198,148005,154193,301527,147641,153886,300889,147273,153616,37.56361329,127.0369234
서울특별시 광진구,355382,172712,182670,355387,172649,182738,354873,172361,182512,354344,172010,182334,354158,171900,182258,353878,171800,182078,353206,171454,181752,353002,171323,181679,352692,171103,181589,352204,170791,181413,351699,170452,181247,351350,170262,181088,37.53857836,127.0821862
서울특별시 동대문구,347415,173171,174244,347459,173239,174220,346750,172784,173966,346312,172478,173834,346301,172425,173876,346501,172490,174011,346524,172446,174078,346649,172510,174139,346551,172440,174111,346152,172186,173966,346166,172158,174008,346194,172113,174081,37.57441406,127.0398434
서울특별시 중랑구,402974,200252,202722,402616,199996,202620,402203,199730,202473,401546,199408,202138,400933,199140,201793,400661,198906,201755,399878,198454,201424,399195,198066,201129,398812,197927,200885,397938,197446,200492,397297,197117,200180,397015,196959,200056,37.60648307,127.0931308
서울특별시 성북구,435270,211557,223713,435754,211649,224105,438245,212830,225415,439754,213501,226253,440082,213590,226492,440397,213648,226749,441170,214002,227168,441503,214115,227388,441590,214094,227496,443000,214737,228263,443111,214727,228384,442650,214437,228213,37.58960402,127.0167645
서울특별시 강북구,318761,155900,162861,318268,155596,162672,317386,155075,162311,316604,154642,161962,316044,154356,161688,315587,154101,161486,315003,153827,161176,314538,153620,160918,314090,153356,160734,314189,153404,160785,314306,153443,160863,313954,153235,160719,37.6399466,127.0255077
서울특별시 도봉구,338834,165839,172995,338373,165573,172800,337820,165314,172506,337346,165073,172273,337072,164926,172146,336698,164731,171967,336288,164502,171786,335801,164210,171591,335280,163953,171327,334553,163618,170935,333902,163309,170593,333362,163051,170311,37.66898579,127.0470495
