행정구역,2019년1월_남자 인구수,2019년2월_남자 인구수,2019년3월_남자 인구수,2019년4월_남자 인구수,2019년5월_남자 인구수,2019년6월_남자 인구수,2019년7월_남자 인구수,2019년8월_남자 인구수,2019년9월_남자 인구수,2019년10월_남자 인구수,2019년11월_남자 인구수,2019년12월_남자 인구수,위도,경도
서울특별시 종로구,74700,74662,74536,74401,74240,74190,74113,74037,73952,73826,73811,73746,37.57364689,126.978984
서울특별시 중구,62025,62048,61992,61952,61940,62086,62212,62190,62161,62049,61994,61910,37.5639284,126.9975517
서울특별시 용산구,110652,110682,110626,110504,110486,110560,110619,110605,110478,110395,110309,110356,37.53253057,126.9907138
서울특별시 성동구,151071,150682,150287,149928,149718,149412,149082,148813,148510,148005,147641,147273,37.56361329,127.0369234
서울특별시 광진구,172712,172649,172361,172010,171900,171800,171454,171323,171103,170791,170452,170262,37.53857836,127.0821862
서울특별시 동대문구,173171,173239,172784,172478,172425,172490,172446,172510,172440,172186,172158,172113,37.57441406,127.0398434
서울특별시 중랑구,200252,199996,199730,199408,199140,198906,198454,198066,197927,197446,197117,196959,37.60648307,127.0931308
서울특별시 성북구,211557,211649,212830,213501,213590,213648,214002,214115,214094,214737,214727,214437,37.58960402,127.0167645
서울특별시 강북구,155900,155596,155075,154642,154356,154101,153827,153620,153356,153404,153443,153235,37.6399466,127.0255077
서울특별시 도봉구,165839,165573,165314,165073,164926,164731,164502,164210,163953,163618,163309,163051,37.66898579,127.0470495
서울특별시 노원구,263324,262888,262593,261866,261428,260946,260292,259628,259204,258491,258292,257923,37.65423107,127.0565938
서울특별시 은평구,233800,234044,234064,233977,233723,233566,233224,232525,232383,232140,231914,231528,37.60291898,126.929256
서울특별시 서대문구,149822,150102,150103,149989,149823,149775,149494,149325,149061,148814,148620,148663,37.57943924,126.9365268
서울특별시 마포구,178181,178039,177872,177652,177584,177388,177010,176673,176863,176933,176958,176891,37.56628642,126.9014899
서울특별시 양천구,228272,227993,227678,227435,227140,226881,226599,226379,226091,225751,225520,225186,37.51714651,126.8665429
서울특별시 강서구,289907,289661,289454,289364,289201,288905,288645,288131,287751,287336,286885,286563,37.55110585,126.8495849
서울특별시 구로구,200131,199874,200367,200688,200593,200561,200648,200895,201077,201085,201156,200987,37.49570011,126.8876391
서울특별시 금천구,119001,119004,118913,118976,118913,118912,118786,118637,118471,118296,118251,118209,37.45695405,126.895379
서울특별시 영등포구,183263,183440,183493,183546,183598,183460,183326,183067,182913,182675,182543,182438,37.52652266,126.8962345
서울특별시 동작구,193074,193624,193622,193709,193600,193449,193251,193003,192829,192676,192354,191976,37.51261701,126.9397997
서울특별시 관악구,252073,252249,252307,252037,252016,251875,251975,252066,251923,251491,251238,251009,37.47828858,126.9514609
서울특별시 서초구,207687,207645,207206,206997,206695,206478,206406,206364,206185,206091,206017,206039,37.48375739,127.0326987
서울특별시 강남구,259553,259712,259510,259575,259616,259645,259625,259968,260305,260605,260695,260806,37.51768528,127.047386
서울특별시 송파구,325474,327592,329046,329655,329569,329200,328786,328287,328073,327430,327185,327164,37.5146405,127.105894
서울특별시 강동구,211381,210962,210371,210111,209865,209746,210327,210561,210593,212784,214047,215335,37.53028931,127.1237639
부산광역시 중구,20936,20926,20897,20890,20842,20819,20799,20711,20664,20633,20607,20557,35.10653923,129.0322797
부산광역시 서구,53934,53873,53775,53596,53469,53294,53209,53048,52951,52870,52730,52627,35.09811743,129.0242148
부산광역시 동구,42809,42709,42674,42633,42557,42454,42445,42816,43033,43204,43234,43327,35.12951925,129.0454126
부산광역시 영도구,59204,59081,58918,58829,58680,58575,58425,58255,58096,57947,57790,57629,35.09140559,129.0678947
부산광역시 부산진구,175944,175433,174998,174503,174251,174269,174181,174209,174133,173931,173714,173446,35.16304228,129.0530903
부산광역시 동래구,130292,130476,130620,130754,130703,130738,130855,131262,131662,132001,132142,132295,35.1967203,129.0930973
부산광역시 남구,137139,136979,136759,136659,136689,136489,136214,135933,135612,135224,134842,134519,35.1367524,129.0844303
부산광역시 북구,146913,146587,146113,145779,145440,145209,144934,144650,144462,144290,144356,144229,35.19746596,128.9902986
부산광역시 해운대구,197725,197619,197468,197166,196965,196743,196525,196269,196126,195976,196018,195960,35.16335254,129.1638847
부산광역시 사하구,163301,162829,162645,162340,162086,161915,161731,161401,161132,160780,160539,160101,35.1045808,128.9749752
부산광역시 금정구,118974,118909,118782,118639,118487,118345,118178,118039,117810,117452,117255,117070,35.2430003,129.0921739
부산광역시 강서구,64021,64728,65033,65271,65446,65621,65693,65847,66056,66300,66520,66982,35.21241036,128.9804872
부산광역시 연제구,101017,101115,101163,101569,101756,101578,101507,101336,101216,101302,101368,101253,35.17640584,129.0796413
부산광역시 수영구,83751,83744,83684,83521,83422,83764,84002,83988,83927,83817,83743,83565,35.14574351,129.1131838
부산광역시 사상구,112977,112665,112569,112397,112303,112024,111779,111504,111248,110921,110610,110286,35.15280367,128.9911898
부산광역시 기장군,81590,81580,81694,81689,81696,81759,81732,81747,81766,81715,81697,81571,35.24482811,129.2222634
대구광역시 중구,38381,38271,38157,37997,37788,37661,37606,37555,37535,37530,37500,37384,35.86947505,128.6060564
대구광역시 동구,173874,173530,173306,173131,172799,172401,172072,171831,171623,171334,171088,170601,35.88681859,128.6355584
대구광역시 서구,92511,92069,91746,91407,90915,90419,89897,89480,89132,88747,88405,88052,35.87200214,128.5592204
대구광역시 남구,72536,72321,72169,72018,71852,71704,71538,71458,71423,71387,71385,71366,35.84618324,128.5973754
대구광역시 북구,218984,218668,218399,218184,218653,219028,219109,219175,219155,218949,218601,218150,35.88430565,128.5815912
대구광역시 수성구,210490,210383,210073,209903,209556,209248,209018,208688,208472,208361,208259,208024,35.85823498,128.6305627
대구광역시 달서구,283566,283370,283048,282952,282813,282756,282705,282644,282403,282094,281821,281348,35.82992525,128.5326441
대구광역시 달성군,128136,128597,128852,129048,129118,129233,129487,129645,129821,130027,130259,130361,35.77475899,128.4313244
인천광역시 중구,64195,65105,65792,66364,67121,67505,67917,68214,68535,69128,69657,70063,37.47393798,126.6215171
인천광역시 동구,33318,33149,33031,32916,32809,32775,32721,32665,32629,32596,32546,32536,37.4740331,126.6432655
인천광역시 미추홀구,209967,209562,209315,208934,208605,208374,207977,207563,207240,206834,206450,206129,37.46365763,126.6502865
