행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
종로구,151215,151309,151217,150936,150623,150383,150183,149962,149952,149703,149549,149384,37.57364689,126.978984
중구,126201,126259,126175,126126,126120,126092,125970,125990,125800,125641,125505,125240,37.5639284,126.9975517
용산구,229385,229677,229579,229369,229393,229431,229432,229362,229786,230044,230151,230040,37.53253057,126.9907138
성동구,300410,299797,299042,298249,297820,297397,296896,296183,295591,294895,294272,293556,37.56361329,127.0369234
광진구,351263,351032,350417,350016,349800,349574,349258,348647,348064,347615,347285,346682,37.53857836,127.0821862
동대문구,346080,346072,346156,345793,345815,345593,345156,344650,344416,343819,343377,342837,37.57441406,127.0398434
중랑구,396755,396314,395619,395072,394982,394414,394293,395788,395997,395572,395194,394702,37.60648307,127.0931308
성북구,442471,442483,442494,442174,442148,441812,441188,440395,439719,438973,438051,437153,37.58960402,127.0167645
강북구,313705,313289,312985,312691,312270,311773,311198,310555,309996,309245,308569,308055,37.6399466,127.0255077
도봉구,332753,332083,331238,330707,330149,329560,328822,328014,327248,326617,326082,325257,37.66898579,127.0470495
노원구,532662,531840,531037,530302,529617,528887,527981,526718,525486,524515,523708,523037,37.65423107,127.0565938
은평구,479457,479005,478019,477973,478029,479524,481184,481729,481546,481165,480617,479835,37.60291898,126.929256
서대문구,310353,311327,312642,312809,312869,312720,312264,312632,313212,312781,312325,312173,37.57943924,126.9365268
마포구,373951,374315,374570,374426,374837,374390,374036,373620,373508,372905,372320,371890,37.56628642,126.9014899
양천구,457887,457332,456339,457132,458181,457953,457543,456980,456240,455649,455058,454251,37.51714651,126.8665429
강서구,591599,590419,589302,588281,587553,586936,586279,584920,583544,582586,581909,580185,37.55110585,126.8495849
