행정구역,2019년1월_여자 인구수,2019년2월_여자 인구수,2019년3월_여자 인구수,2019년4월_여자 인구수,2019년5월_여자 인구수,2019년6월_여자 인구수,2019년7월_여자 인구수,2019년8월_여자 인구수,2019년9월_여자 인구수,2019년10월_여자 인구수,2019년11월_여자 인구수,2019년12월_여자 인구수,위도,경도
서울특별시 종로구,78166,78218,78242,78094,77980,77836,77745,77729,77815,77715,77646,77544,37.57364689,126.978984
서울특별시 중구,63847,63947,63950,63961,63868,64057,64202,64222,64248,64221,64215,64261,37.5639284,126.9975517
서울특별시 용산구,118515,118597,118542,118436,118440,118562,118536,118512,118352,118199,118198,118314,37.53253057,126.9907138
서울특별시 성동구,156652,156382,156117,155857,155718,155524,155210,154917,154648,154193,153886,153616,37.56361329,127.0369234
서울특별시 광진구,182670,182738,182512,182334,182258,182078,181752,181679,181589,181413,181247,181088,37.53857836,127.0821862
서울특별시 동대문구,174244,174220,173966,173834,173876,174011,174078,174139,174111,173966,174008,174081,37.57441406,127.0398434
서울특별시 중랑구,202722,202620,202473,202138,201793,201755,201424,201129,200885,200492,200180,200056,37.60648307,127.0931308
서울특별시 성북구,223713,224105,225415,226253,226492,226749,227168,227388,227496,228263,228384,228213,37.58960402,127.0167645
서울특별시 강북구,162861,162672,162311,161962,161688,161486,161176,160918,160734,160785,160863,160719,37.6399466,127.0255077
서울특별시 도봉구,172995,172800,172506,172273,172146,171967,171786,171591,171327,170935,170593,170311,37.66898579,127.0470495
서울특별시 노원구,279420,278912,278581,278018,277702,277404,276854,276292,276078,275413,275206,274982,37.65423107,127.0565938
서울특별시 은평구,249713,250026,250210,250290,250249,250164,249860,249331,249280,249078,248787,248504,37.60291898,126.929256
서울특별시 서대문구,160987,161598,161668,161597,161485,161440,161301,161152,161008,160823,160692,160734,37.57943924,126.9365268
서울특별시 마포구,197091,197333,197234,197172,197135,197034,196746,196527,196766,196919,197070,197144,37.56628642,126.9014899
서울특별시 양천구,235336,235110,234921,234691,234392,234170,234122,233996,233758,233395,233171,232979,37.51714651,126.8665429
서울특별시 강서구,306955,306941,306833,306869,306908,306697,306412,306168,305957,305694,305424,305233,37.55110585,126.8495849
서울특별시 구로구,203918,203794,204359,204828,204755,204854,205109,205464,205671,205804,205934,205677,37.49570011,126.8876391
서울특별시 금천구,115152,115153,115068,115197,115220,115167,115041,114937,114900,114721,114638,114601,37.45695405,126.895379
서울특별시 영등포구,184786,184997,185331,185328,185466,185557,185569,185499,185489,185377,185257,185240,37.52652266,126.8962345
서울특별시 동작구,204361,205061,205264,205409,205484,205436,205182,204923,204789,204463,204106,203987,37.51261701,126.9397997
서울특별시 관악구,249926,250186,250308,250214,250313,250214,250237,250327,250194,249750,249565,249085,37.47828858,126.9514609
서울특별시 서초구,225933,225920,225556,225339,225056,224882,225017,224989,224842,224710,224680,224787,37.48375739,127.0326987
서울특별시 강남구,282601,282629,282344,282533,282728,282853,282951,283254,283723,284107,284329,284363,37.51768528,127.047386
