행정구역,위도,경도
서울특별시,37.56649078,126.9779451
부산광역시,35.17980529,129.0747742
대구광역시,35.8728734,128.6014289
인천광역시,37.45619113,126.7052277
광주광역시,35.16019776,126.8512965
대전광역시,36.35065542,127.3847972
울산광역시,35.53981444,129.3115169
세종특별자치시,36.48043597,127.2892228
경기도,37.28951221,127.0534814
강원도,37.88558569,127.7297609
충청북도,36.63600729,127.4913231
충청남도,36.66114634,126.6732661
전라북도,35.81995517,127.1081298
전라남도,34.81640355,126.4629135
경상북도,36.57621023,128.5055849
경상남도,35.2384745,128.692398
제주특별자치도,33.48904437,126.4980681
