행정구역,2022년1월_남자 인구수,2022년2월_남자 인구수,2022년3월_남자 인구수,2022년4월_남자 인구수,2022년5월_남자 인구수,2022년6월_남자 인구수,2022년7월_남자 인구수,2022년8월_남자 인구수,2022년9월_남자 인구수,2022년10월_남자 인구수,2022년11월_남자 인구수,2022년12월_남자 인구수,위도,경도
서울특별시,4615631,4615823,4613910,4610082,4607440,4605655,4604405,4601295,4582361,4578459,4574781,4570048,37.56649078,126.9779451
부산광역시,1638207,1637111,1634958,1633170,1631825,1630944,1629643,1627821,1623784,1622749,1621486,1619915,35.17980529,129.0747742
대구광역시,1174667,1173039,1172632,1171451,1170309,1169571,1168845,1167564,1165326,1164728,1164024,1162865,35.8728734,128.6014289
인천광역시,1476663,1477432,1478272,1478514,1479428,1480432,1482177,1483370,1481896,1483026,1484103,1485175,37.45619113,126.7052277
광주광역시,713037,712199,711289,710524,710062,709685,709305,709090,708248,708119,707815,707299,35.16019776,126.8512965
대전광역시,724026,723812,723361,723063,722840,722517,722366,722486,721604,721745,721609,721245,36.35065542,127.3847972
울산광역시,575939,575165,574444,573984,573619,573152,572615,571867,571248,570960,570756,570368,35.53981444,129.3115169
세종특별자치시,186907,187858,188356,188778,189302,189723,190038,190276,190541,190683,190987,191389,36.48043597,127.2892228
경기도,6830317,6831902,6832830,6833859,6835968,6838396,6840138,6840757,6832856,6835151,6836309,6839276,37.28951221,127.0534814
강원도,774315,774543,774522,774562,774458,774405,774387,774193,773576,773491,773182,772947,37.88558569,127.7297609
충청북도,810548,810649,811004,811063,811009,811127,811286,811289,810741,810747,810731,810782,36.63600729,127.4913231
충청남도,1083242,1083507,1083753,1083970,1084296,1084712,1085037,1085209,1084756,1085425,1086076,1086632,36.66114634,126.6732661
전라북도,888291,887611,886928,886274,885475,884908,884164,883436,882044,881608,881151,880592,35.81995517,127.1081298
전라남도,922190,921753,920971,920492,920050,919417,918956,918260,916611,915996,915677,915272,34.81640355,126.4629135
경상북도,1322509,1321638,1320888,1320018,1319332,1318198,1317139,1315815,1313983,1313237,1312637,1311881,36.57621023,128.5055849
경상남도,1666968,1664907,1663146,1661866,1660600,1659245,1658198,1656746,1654622,1653654,1652807,1651675,35.2384745,128.692398
제주특별자치도,339071,339248,339320,339383,339578,339697,339951,340105,339801,339731,339758,339590,33.48904437,126.4980681
