행정구역,2022년1월_총인구수,2022년2월_총인구수,2022년3월_총인구수,2022년4월_총인구수,2022년5월_총인구수,2022년6월_총인구수,2022년7월_총인구수,2022년8월_총인구수,2022년9월_총인구수,2022년10월_총인구수,2022년11월_총인구수,2022년12월_총인구수,위도,경도
서울특별시,9505926,9508451,9506778,9500480,9496887,9494807,9493211,9488454,9450768,9443722,9436836,9428372,37.56649078,126.9779451
부산광역시,3348874,3347396,3343504,3340214,3338167,3336737,3334595,3331444,3323826,3322286,3320276,3317812,35.17980529,129.0747742
대구광역시,2383858,2381095,2380494,2378573,2376676,2375306,2374120,2371936,2367735,2366852,2365619,2363691,35.8728734,128.6014289
인천광역시,2949150,2950978,2952699,2953260,2955167,2957066,2960580,2963117,2960097,2962388,2964820,2967314,37.45619113,126.7052277
광주광역시,1441636,1440032,1438463,1436916,1436012,1435378,1434703,1434397,1432856,1432651,1432049,1431050,35.16019776,126.8512965
대전광역시,1451272,1450862,1450057,1449360,1448933,1448401,1448182,1448240,1446602,1446863,1446749,1446072,36.35065542,127.3847972
울산광역시,1121100,1119446,1118010,1117204,1116482,1115609,1114753,1113458,1112191,1111707,1111371,1110663,35.53981444,129.3115169
세종특별자치시,374377,376399,377296,378196,379340,380215,380889,381439,381925,382258,382770,383591,36.48043597,127.2892228
경기도,13571450,13574369,13575936,13577808,13581496,13585967,13589362,13590056,13574353,13579508,13583238,13589432,37.28951221,127.0534814
강원도,1538660,1539051,1539036,1539038,1539005,1539064,1539178,1538801,1537396,1537339,1536863,1536498,37.88558569,127.7297609
충청북도,1597097,1597022,1597484,1597284,1597033,1597118,1597163,1596886,1595624,1595578,1595284,1595058,36.63600729,127.4913231
충청남도,2118638,2118912,2119099,2119296,2119661,2120201,2121011,2121082,2120269,2121333,2122357,2123037,36.66114634,126.6732661
전라북도,1785392,1783923,1782205,1780824,1779230,1778279,1776949,1775664,1772596,1771776,1770839,1769607,35.81995517,127.1081298
전라남도,1832604,1831451,1829501,1828550,1827674,1826440,1825534,1824104,1820458,1819157,1818484,1817697,34.81640355,126.4629135
경상북도,2624310,2622026,2619641,2617552,2616177,2613963,2612016,2609356,2605066,2603389,2602052,2600492,36.57621023,128.5055849
경상남도,3311438,3307005,3303274,3300692,3298016,3295615,3293709,3290991,3286470,3284495,3282849,3280493,35.2384745,128.692398
제주특별자치도,676691,677143,677218,677413,677766,678012,678491,679016,678426,678324,678373,678159,33.48904437,126.4980681
