행정구역,2021년1월_여자 인구수,2021년2월_여자 인구수,2021년3월_여자 인구수,2021년4월_여자 인구수,2021년5월_여자 인구수,2021년6월_여자 인구수,2021년7월_여자 인구수,2021년8월_여자 인구수,2021년9월_여자 인구수,2021년10월_여자 인구수,2021년11월_여자 인구수,2021년12월_여자 인구수,위도,경도
서울특별시,4961970,4958324,4930960,4927000,4920635,4916548,4912976,4909487,4906187,4901798,4896590,4891418,37.56649078,126.9779451
부산광역시,1729861,1729221,1720595,1719452,1718369,1717067,1715987,1715149,1715073,1713943,1712760,1711336,35.17980529,129.0747742
대구광역시,1224157,1222947,1220805,1219633,1217963,1215266,1214398,1213403,1213147,1212235,1211094,1209780,35.8728734,128.6014289
인천광역시,1468813,1468460,1465711,1465724,1465854,1465823,1466455,1467082,1468832,1470473,1471074,1472002,37.45619113,126.7052277
광주광역시,732186,731622,730247,729953,729053,728854,728856,728684,729161,728971,728846,728596,35.16019776,126.8512965
대전광역시,732895,732401,730388,730097,729882,729441,729019,728723,728916,728486,728269,727625,36.35065542,127.3847972
울산광역시,551968,550763,548830,548310,547859,547445,547216,546653,546143,545843,545859,545375,35.53981444,129.3115169
세종특별자치시,179215,180041,180432,180934,181258,181667,182368,182879,183516,184397,185024,186217,36.48043597,127.2892228
경기도,6683637,6694692,6688971,6695332,6699583,6705600,6711859,6720414,6725835,6729552,6734042,6738152,37.28951221,127.0534814
강원도,765969,765689,763151,763138,762598,762581,762908,763010,763270,763709,764041,764160,37.88558569,127.7297609
충청북도,788601,788371,786257,786624,787009,787278,787243,787084,786784,786855,786758,786755,36.63600729,127.4913231
충청남도,1037742,1037516,1034982,1035177,1035406,1035287,1035551,1035519,1035502,1035844,1036110,1035891,36.66114634,126.6732661
전라북도,906633,905834,903476,902916,901849,901675,901415,900700,900037,899392,898792,897861,35.81995517,127.1081298
전라남도,920443,919906,916927,916481,915349,914523,913947,913441,912039,911616,911187,910582,34.81640355,126.4629135
경상북도,1309255,1308580,1307573,1307656,1306285,1305557,1305431,1304900,1304022,1303797,1303447,1302948,36.57621023,128.5055849
경상남도,1658013,1656750,1653442,1653073,1651909,1651228,1650732,1649636,1648229,1647767,1646853,1645845,35.2384745,128.692398
제주특별자치도,336062,336464,335768,336062,336311,336527,336898,336921,337104,337374,337512,337582,33.48904437,126.4980681
